num_stations,driver_id,model,battery_capacity,efficiency,battery_level_end,mileage,trip_start_time,trip_end_time,trip_time,queue_time,charge_time,charges,db,epoch
32,1,L,95,0.19,53.39,616.0,0,390.1287586173926,390.1287586173926,0.0,36.732000000000006,1,0,1
32,2,S,55,0.17,48.2,616.0,0,395.8847586173926,395.8847586173926,0.0,42.488,2,0,1
32,3,S,55,0.17,51.6,616.0,0,422.98075861739255,422.98075861739255,26.73599999999999,42.848,2,0,1
32,4,M,75,0.18,32.160000000000004,616.0,0,382.29275861739256,382.29275861739256,0.0,28.895999999999997,1,0,1
32,5,XL,120,0.2,80.19999999999999,616.0,0,400.19675861739256,400.19675861739256,0.0,46.800000000000004,1,0,1
32,6,S,55,0.17,4.339999999999996,616.0,0,375.38075861739253,375.38075861739253,0.0,21.984,1,0,1
32,7,XL,120,0.2,76.19999999999999,616.0,0,437.5687586173926,437.5687586173926,0.0,47.440000000000005,1,0,1
32,8,S,55,0.17,38.17,616.0,0,417.3767586173926,417.3767586173926,0.0,43.596000000000004,2,0,1
32,9,M,75,0.18,32.160000000000004,616.0,0,410.94875861739257,410.94875861739257,28.895999999999987,28.655999999999995,1,0,1
32,10,S,55,0.17,41.57,616.0,0,396.3927586173926,396.3927586173926,0.0,42.996,2,0,1
32,11,XL,120,0.2,108.0,616.0,0,399.87675861739257,399.87675861739257,0.0,46.480000000000004,1,0,1
32,12,S,55,0.17,44.8,616.0,0,468.8207586173926,468.8207586173926,73.13599999999997,42.288,2,0,1
32,13,S,55,0.17,4.339999999999996,616.0,0,375.22075861739256,375.22075861739256,0.0,21.824,1,0,1
32,14,S,55,0.17,38.17,616.0,0,395.7527586173926,395.7527586173926,0.0,42.356,2,0,1
32,15,L,95,0.19,42.18,616.0,0,390.0447586173925,390.0447586173925,0.0,36.648,1,0,1
32,16,M,75,0.18,17.760000000000005,616.0,0,382.8527586173925,382.8527586173925,0.0,29.456,1,0,1
32,17,M,75,0.18,14.160000000000004,616.0,0,404.3967586173925,404.3967586173925,0.0,29.775999999999996,1,0,1
32,18,L,95,0.19,57.19,616.0,0,437.28875861739255,437.28875861739255,46.79999999999998,37.092,1,0,1
32,19,XL,120,0.2,88.2,616.0,0,399.99675861739263,399.99675861739263,0.0,46.599999999999994,1,0,1
32,20,XL,120,0.2,96.2,616.0,0,400.0367586173926,400.0367586173926,0.0,46.64000000000001,1,0,1
32,21,S,55,0.17,44.8,616.0,0,490.4447586173926,490.4447586173926,93.51999999999998,43.528,2,0,1
32,22,XL,120,0.2,68.4,616.0,0,401.1167586173926,401.1167586173926,0.0,47.720000000000006,1,0,1
32,23,S,55,0.17,48.2,616.0,0,417.50875861739263,417.50875861739263,0.0,42.647999999999996,2,0,1
32,24,XL,120,0.2,76.19999999999999,616.0,0,485.2887586173926,485.2887586173926,84.172,47.720000000000006,1,0,1
32,25,M,75,0.18,35.58,616.0,0,514.2327586173926,514.2327586173926,131.89200000000002,28.944,1,0,1
32,26,XL,120,0.2,76.19999999999999,616.0,0,562.0327586173926,562.0327586173926,160.83600000000004,47.8,1,0,1
32,27,M,75,0.18,14.160000000000004,616.0,0,433.45275861739253,433.45275861739253,50.99999999999997,29.056,1,0,1
32,28,S,55,0.17,48.2,616.0,0,421.82075861739264,421.82075861739264,0.0,43.44800000000001,2,0,1
32,29,XL,120,0.2,112.0,616.0,0,400.1967586173926,400.1967586173926,0.0,46.800000000000004,1,0,1
32,30,S,55,0.17,41.57,616.0,0,418.0167586173926,418.0167586173926,21.372,42.79600000000001,2,0,1
32,31,M,75,0.18,32.160000000000004,616.0,0,440.00475861739255,440.00475861739255,57.55199999999999,29.055999999999994,1,0,1
32,32,S,55,0.17,34.769999999999996,616.0,0,436.9767586173926,436.9767586173926,0.0,83.58000000000001,2,0,1
32,33,S,55,0.17,44.8,616.0,0,512.0687586173926,512.0687586173926,95.36000000000001,42.647999999999996,2,0,1
32,34,S,55,0.17,51.6,616.0,0,476.7807586173925,476.7807586173925,80.05599999999998,43.328,2,0,1
32,35,M,75,0.18,28.560000000000002,616.0,0,430.85275861739257,430.85275861739257,47.72,29.736000000000004,1,0,1
32,36,XL,120,0.2,88.2,616.0,0,399.99675861739263,399.99675861739263,0.0,46.599999999999994,1,0,1
32,37,S,55,0.17,44.8,616.0,0,533.6927586173927,533.6927586173927,136.84800000000007,43.448,2,0,1
32,38,XL,120,0.2,116.0,616.0,0,401.35675861739253,401.35675861739253,0.0,47.96,1,0,1
32,39,S,55,0.17,51.6,616.0,0,498.40475861739253,498.40475861739253,101.75999999999996,43.048,2,0,1
32,40,XL,120,0.2,72.4,616.0,0,486.64475861739254,486.64475861739254,86.60799999999998,46.64000000000001,1,0,1
32,41,M,75,0.18,17.760000000000005,616.0,0,382.49275861739255,382.49275861739255,0.0,29.096000000000004,1,0,1
32,42,XL,120,0.2,108.0,616.0,0,447.19675861739256,447.19675861739256,0.0,47.32,1,0,1
32,43,M,75,0.18,10.560000000000002,616.0,0,404.31675861739257,404.31675861739257,0.0,29.895999999999997,1,0,1
32,44,S,55,0.17,44.8,616.0,0,555.3167586173927,555.3167586173927,158.4720000000001,43.448,2,0,1
32,45,S,55,0.17,51.6,616.0,0,520.0287586173926,520.0287586173926,123.18399999999994,42.928,2,0,1
32,46,S,55,0.17,38.17,616.0,0,439.00075861739265,439.00075861739265,43.24800000000009,42.356,2,0,1
32,47,S,55,0.17,51.6,616.0,0,541.6527586173926,541.6527586173926,144.48799999999997,43.128,2,0,1
