station_id,location,visits,charge_time,queue_time,num_chargers,charger_speeds
63,347.0,69,2255.5560000000005,0.0,6,"[150, 50, 150, 72, 150, 50, 72, 150]"
64,353.0,41,838.9920000000001,23.52021203909578,6,"[150, 250, 250, 72, 150, 72, 150, 72]"
65,358.0,78,1600.7232000000006,0.0,14,"[72, 150, 250, 72, 72, 72, 150, 150, 150, 250, 72, 250, 72, 250, 72, 150]"
66,364.0,65,1327.6464,0.0,10,"[150, 150, 150, 150, 250, 150, 72, 250, 250, 72, 250, 150]"
67,370.0,56,1932.8799999999999,0.0,8,"[150, 150, 72, 150, 72, 72, 150, 150, 150, 72]"
68,375.0,54,1155.5279999999998,0.0,14,"[250, 150, 72, 72, 72, 150, 150, 72, 250, 50, 150, 250, 50, 150, 250, 150]"
69,381.0,58,1216.5119999999993,0.0,8,"[250, 250, 250, 50, 150, 250, 150, 250, 72, 250]"
70,386.0,44,921.1295999999998,52.66197977277693,4,"[72, 150, 150, 250, 150, 250]"
71,392.0,67,1446.7679999999993,19044.514232844318,6,"[50, 150, 250, 72, 72, 150, 150, 150]"
72,398.0,54,1079.5919999999994,0.0,6,"[250, 150, 72, 250, 150, 150, 72, 150]"
73,403.0,68,1421.0039999999997,0.0,8,"[150, 72, 250, 72, 150, 72, 250, 250, 150, 50]"
74,409.0,47,936.5640000000003,0.0,10,"[250, 250, 250, 72, 72, 150, 150, 150, 72, 250, 150, 250]"
75,414.0,30,665.5535999999996,0.0,6,"[150, 150, 250, 250, 250, 150, 50, 72]"
76,420.0,26,618.9359999999998,0.0,10,"[150, 150, 250, 150, 150, 250, 250, 250, 72, 72, 72, 150]"
77,426.0,28,658.8864000000001,1186.9669914134604,10,"[150, 150, 72, 150, 250, 72, 150, 150, 150, 150, 150, 150]"
78,431.0,28,676.2455999999996,25.64544903828846,6,"[150, 150, 150, 150, 250, 150, 72, 250]"
79,437.0,13,300.9264,0.0,8,"[250, 72, 150, 50, 250, 72, 150, 250, 72, 150]"
80,442.0,40,966.0960000000003,3672.7850953964116,8,"[50, 150, 250, 150, 72, 150, 50, 150, 150, 72]"
81,448.0,19,436.21439999999996,0.0,10,"[150, 250, 72, 150, 250, 150, 150, 250, 150, 150, 72, 72]"
82,454.0,19,436.8672,0.0,4,"[150, 250, 250, 72, 150, 72]"
83,459.0,35,822.6720000000004,0.0,10,"[150, 150, 72, 72, 250, 72, 250, 150, 72, 72, 72, 150]"
84,465.0,17,392.1120000000001,0.0,10,"[250, 150, 50, 72, 250, 50, 250, 150, 250, 150, 150, 150]"
85,470.0,29,687.4559999999998,0.0,10,"[150, 72, 250, 72, 72, 250, 72, 150, 150, 250, 150, 150]"
86,476.0,35,817.0656000000004,0.0,10,"[250, 250, 150, 250, 250, 250, 72, 250, 150, 72, 150, 250]"
87,482.0,23,539.7600000000002,229.88201514913567,4,"[150, 150, 72, 250, 150, 72]"
88,487.0,35,1361.6119999999999,0.0,4,"[150, 72, 150, 50, 150, 150]"
89,493.0,24,562.8888,0.0,8,"[150, 150, 150, 150, 250, 250, 150, 72, 150, 72]"
90,498.0,12,290.6832,0.0,10,"[150, 150, 150, 250, 72, 250, 72, 250, 150, 72, 72, 72]"
91,504.0,1,28.776000000000003,0.0,14,"[72, 250, 150, 72, 72, 150, 250, 250, 72, 72, 72, 150, 150, 250, 150, 150]"
92,510.0,4,99.048,0.0,6,"[72, 250, 250, 72, 250, 150, 250, 150]"
93,515.0,18,328.19039999999995,0.0,8,"[150, 72, 72, 150, 50, 250, 250, 150, 72, 250]"
94,521.0,13,216.24,36.337449650861004,10,"[150, 72, 150, 50, 150, 250, 150, 72, 150, 72, 72, 72]"
95,526.0,17,268.2528,0.0,4,"[250, 150, 72, 250, 72, 72]"
96,532.0,10,192.7872,0.0,8,"[150, 250, 150, 150, 250, 150, 72, 250, 150, 250]"
97,538.0,16,302.544,0.0,6,"[150, 250, 250, 150, 150, 72, 72, 250]"
98,543.0,12,203.22480000000002,0.0,4,"[72, 250, 72, 250, 250, 72]"
99,549.0,13,247.40160000000006,0.0,10,"[150, 150, 150, 250, 250, 150, 150, 72, 250, 72, 150, 250]"
100,554.0,19,310.09200000000004,0.0,6,"[72, 250, 72, 150, 250, 150, 150, 50]"
101,560.0,20,369.78959999999995,14.148420178046536,6,"[150, 250, 72, 150, 50, 150, 72, 150]"
102,566.0,15,227.0640000000001,0.0,6,"[72, 250, 250, 250, 150, 150, 150, 150]"
103,571.0,24,703.484,0.0,6,"[150, 150, 150, 150, 72, 150, 72, 150]"
104,577.0,12,203.2008,0.0,2,"[250, 72, 150, 150]"
105,582.0,19,325.15680000000003,0.0,10,"[150, 250, 150, 150, 250, 150, 150, 150, 72, 250, 50, 150]"
106,588.0,15,257.5512,0.0,10,"[250, 150, 250, 250, 250, 150, 150, 150, 72, 150, 250, 250]"
107,594.0,16,287.1840000000001,0.0,8,"[150, 150, 250, 72, 72, 250, 250, 250, 150, 250]"
108,599.0,8,119.88240000000002,0.0,6,"[250, 250, 250, 150, 50, 250, 150, 72]"
109,605.0,9,117.13680000000004,0.0,14,"[250, 72, 250, 150, 72, 150, 72, 150, 72, 72, 250, 150, 250, 250, 250, 150]"
110,610.0,11,143.16720000000004,0.0,6,"[72, 50, 250, 250, 150, 250, 250, 72]"
111,616.0,0,0.0,0.0,6,"[150, 72, 72, 150, 250, 72, 150, 150]"
