num_stations,driver_id,model,battery_capacity,efficiency,battery_level_end,mileage,trip_start_time,trip_end_time,trip_time,queue_time,charge_time,station_time,charges,db
7,1,S,55,0.17,37.489999999999995,616.0,827.7583830517589,2739.8848166654284,1911.5981941621403,1536.2630355447477,21.9384,1558.2014355447477,2,0
7,2,S,55,0.17,37.489999999999995,616.0,677.3709861173555,1986.5773772138941,1309.2063910965385,932.263232479146,23.546400000000002,955.8096324791461,2,0
7,3,M,75,0.18,1.019999999999996,616.0,670.8472981437367,1925.2141772138973,1254.3668790701606,886.930120452768,14.040000000000001,900.970120452768,1,0
7,4,S,55,0.17,37.489999999999995,616.0,830.047433242914,2748.9925772138995,1918.9451439709849,1543.3459853535924,22.2024,1565.5483853535923,2,0
7,5,S,55,0.17,37.489999999999995,616.0,502.6559011066671,1291.8349772138977,789.1790761072306,412.7159174898379,23.0664,435.7823174898379,2,0
7,6,L,95,0.19,56.05,616.0,1028.5513939678908,1401.9377525852835,373.38635861739255,0.0,19.9896,19.9896,1,0
7,7,L,95,0.19,56.05,616.0,629.1124329136203,1003.5307915310129,374.4183586173925,0.0,21.0216,21.0216,1,0
7,8,M,75,0.18,1.019999999999996,616.0,766.4393688735772,2431.0501772138978,1664.6108083403205,1296.142049722928,15.072,1311.214049722928,1,0
7,9,L,95,0.19,36.48,616.0,760.6127994408731,1147.7248219213548,373.99355861739264,0.0,20.596799999999998,20.596799999999998,1,0
7,10,S,55,0.17,37.489999999999995,616.0,777.0514557601864,2507.972577213898,1730.9211214537117,1354.9379628363192,22.586400000000005,1377.5243628363191,2,0
7,11,M,75,0.18,19.560000000000002,616.0,469.1843513180458,838.9827099354385,369.79835861739264,0.0,16.4016,16.4016,1,0
7,12,S,55,0.17,37.489999999999995,616.0,885.0790293750061,2922.3709772138996,2036.761547838893,1658.7623892215006,24.602400000000003,1683.3647892215006,2,0
7,13,M,75,0.18,1.019999999999996,616.0,913.4928215548507,3057.4840166654294,2143.9911951105787,1775.1384364931862,15.456,1790.594436493186,1,0
7,14,L,95,0.19,56.05,616.0,324.93174263346054,698.0061012508531,373.0743586173926,0.0,19.6776,19.6776,1,0
7,15,M,75,0.18,19.560000000000002,616.0,391.667206196556,760.2415648139486,368.5743586173926,0.0,15.177599999999998,15.177599999999998,1,0
7,16,L,95,0.19,56.05,616.0,776.3263829549123,1152.328741572305,376.00235861739253,0.0,22.6056,22.6056,1,0
7,17,XL,120,0.2,79.0,616.0,382.497407539617,764.0461661570096,381.54875861739254,0.0,28.152,28.152,1,0
7,18,S,55,0.17,37.489999999999995,616.0,779.250561130659,2529.330416665428,1750.0798555347692,1373.0886969173766,23.5944,1396.6830969173766,2,0
7,19,S,55,0.17,37.489999999999995,616.0,276.3520146445512,687.9393503532386,399.760562569346,22.865403951953454,23.498400000000004,46.36380395195346,2,0
7,20,S,55,0.17,37.489999999999995,616.0,437.8216920696831,1079.883977180312,634.3367245957448,257.2255659783523,23.714400000000005,280.9399659783523,2,0
7,21,S,55,0.17,37.489999999999995,616.0,491.060496528508,1254.1357772138979,763.0752806853901,388.0761220679975,21.602400000000003,409.6785220679975,2,0
7,22,S,55,0.17,37.489999999999995,616.0,1181.951165146214,3595.3168166654327,2413.365651519219,2036.2064929018263,23.7624,2059.968892901826,2,0
7,23,M,75,0.18,19.560000000000002,616.0,427.55988333173144,797.3822419491241,369.82235861739264,0.0,16.4256,16.4256,1,0
7,24,S,55,0.17,37.489999999999995,616.0,980.2539046086866,3259.3696166654313,2277.9706726052127,1898.9155139878198,25.6584,1924.5739139878199,2,0
7,25,S,55,0.17,37.489999999999995,616.0,367.42438450831736,827.4087771803113,459.98439267199393,84.19323405460136,22.3944,106.58763405460137,2,0
7,26,S,55,0.17,37.489999999999995,616.0,791.9140843023572,2605.1824166654287,1813.2683323630708,1437.1411737456783,22.730400000000003,1459.8715737456782,2,0
7,27,XL,120,0.2,79.0,616.0,425.03324593526565,806.8940045526583,381.86075861739255,0.0,28.464000000000002,28.464000000000002,1,0
7,28,M,75,0.18,1.019999999999996,616.0,560.5583653655103,1447.1200166654276,886.5616512999172,517.8048926825247,15.36,533.1648926825247,1,0
7,29,S,55,0.17,37.489999999999995,616.0,921.5113389390522,3089.7229772138994,2166.7692382748473,1789.6820796574546,23.690400000000004,1813.3724796574545,2,0
7,30,S,55,0.17,2.6399999999999935,616.0,549.5527905126679,915.8279491300606,366.2751586173926,0.0,12.878400000000001,12.878400000000001,1,0
7,31,S,55,0.17,37.489999999999995,616.0,770.245180114942,2490.999777213899,1713.787397098956,1336.9162384815636,23.474400000000003,1360.3906384815634,2,0
7,32,M,75,0.18,1.019999999999996,616.0,590.2557549076323,1614.1960166654276,1023.9402617577953,655.8315031404027,14.712,670.5435031404027,1,0
7,33,XL,120,0.2,58.4,616.0,800.6236158258546,1189.0747246921514,377.7087586173926,0.0,24.312000000000005,24.312000000000005,1,0
7,34,M,75,0.18,1.019999999999996,616.0,774.3951173014999,2485.386177213898,1710.991059912398,1343.6743012950055,13.92,1357.5943012950056,1,0
7,35,S,55,0.17,37.489999999999995,616.0,1162.9648364432755,3559.131777213901,2385.8735802221554,2009.1704216047626,23.306400000000004,2032.4768216047626,2,0
7,36,M,75,0.18,1.019999999999996,616.0,709.3477278957124,2100.774177213897,1391.426449318185,1022.3336907007923,15.696,1038.0296907007923,1,0
7,37,S,55,0.17,37.489999999999995,616.0,503.405209622979,1299.450377180311,796.0451675573323,419.29400893993966,23.354400000000002,442.64840893993966,2,0
