station_id,location,charges,charge_time,queue_time,epoch
7,411.0,10,427.75199999999995,1890.5560000000007,15
8,479.0,17,411.74000000000007,22.860000000000014,15
9,548.0,8,204.11200000000002,584.9440000000001,15
10,616.0,0,0.0,0.0,15
1,0.0,0,0.0,0.0,16
2,68.0,0,0.0,0.0,16
3,137.0,0,0.0,0.0,16
4,205.0,15,320.43999999999994,1018.0800000000003,16
5,274.0,10,242.16,483.34400000000016,16
6,342.0,9,338.504,621.0,16
7,411.0,9,364.90400000000005,37.71600000000001,16
8,479.0,17,1314.0839999999996,11680.579999999996,16
9,548.0,8,203.27200000000002,22.968000000000018,16
10,616.0,0,0.0,0.0,16
1,0.0,0,0.0,0.0,17
2,68.0,0,0.0,0.0,17
3,137.0,2,35.392,0.0,17
4,205.0,12,250.51999999999998,1395.8000000000002,17
5,274.0,14,1003.032,1793.2559999999999,17
6,342.0,3,346.03200000000004,0.0,17
7,411.0,8,278.052,465.432,17
8,479.0,20,607.5359999999998,696.3040000000002,17
9,548.0,11,283.016,44.68000000000001,17
10,616.0,0,0.0,0.0,17
1,0.0,0,0.0,0.0,18
2,68.0,0,0.0,0.0,18
3,137.0,0,0.0,0.0,18
4,205.0,9,180.98000000000002,728.1200000000003,18
5,274.0,15,380.85600000000005,2699.1439999999993,18
6,342.0,11,402.03200000000004,967.9200000000001,18
7,411.0,8,322.504,144.224,18
8,479.0,12,301.48800000000006,1101.812,18
9,548.0,12,334.25600000000003,55.65600000000006,18
10,616.0,0,0.0,0.0,18
1,0.0,0,0.0,0.0,19
2,68.0,0,0.0,0.0,19
3,137.0,2,35.751999999999995,0.0,19
4,205.0,14,282.46,1833.5,19
5,274.0,15,343.64000000000004,410.5360000000002,19
6,342.0,8,319.24800000000005,1063.9199999999996,19
7,411.0,10,359.36800000000005,765.6479999999999,19
8,479.0,15,984.6479999999997,5892.227999999997,19
9,548.0,12,249.63200000000003,267.568,19
10,616.0,0,0.0,0.0,19
1,0.0,0,0.0,0.0,20
2,68.0,0,0.0,0.0,20
3,137.0,0,0.0,0.0,20
4,205.0,13,275.54,1679.4,20
5,274.0,11,256.072,520.8480000000001,20
6,342.0,11,416.376,824.184,20
7,411.0,6,259.956,215.5560000000001,20
8,479.0,17,459.96000000000004,2701.0679999999966,20
9,548.0,11,286.97600000000006,261.8960000000001,20
10,616.0,0,0.0,0.0,20
1,0.0,0,0.0,0.0,21
2,68.0,0,0.0,0.0,21
3,137.0,1,18.075999999999997,0.0,21
4,205.0,10,196.35999999999999,881.5800000000004,21
5,274.0,16,380.12,1303.8720000000003,21
6,342.0,5,176.2,0.0,21
7,411.0,6,229.02400000000003,19.359999999999957,21
8,479.0,17,499.6800000000001,1149.8520000000003,21
9,548.0,16,461.4400000000001,3239.847999999998,21
10,616.0,0,0.0,0.0,21
1,0.0,0,0.0,0.0,22
2,68.0,0,0.0,0.0,22
3,137.0,3,53.188,35.632000000000005,22
4,205.0,10,197.01999999999998,218.38000000000005,22
5,274.0,12,813.984,1112.472,22
6,342.0,8,258.872,784.3039999999996,22
7,411.0,8,274.892,1036.616,22
8,479.0,15,430.29200000000003,1341.7520000000006,22
9,548.0,15,441.80800000000005,64.68799999999987,22
10,616.0,0,0.0,0.0,22
1,0.0,0,0.0,0.0,23
2,68.0,0,0.0,0.0,23
3,137.0,2,35.312,17.756,23
4,205.0,11,238.44,1175.0400000000002,23
5,274.0,14,315.912,890.44,23
6,342.0,8,286.09599999999995,419.73599999999993,23
7,411.0,9,332.896,571.7520000000001,23
8,479.0,11,275.46000000000004,583.9040000000001,23
9,548.0,15,413.6000000000001,196.40800000000007,23
10,616.0,0,0.0,0.0,23
1,0.0,0,0.0,0.0,24
2,68.0,0,0.0,0.0,24
3,137.0,0,0.0,0.0,24
4,205.0,16,332.14,2534.3200000000006,24
5,274.0,11,233.08800000000002,1124.912,24
6,342.0,6,237.776,79.15199999999999,24
7,411.0,9,401.192,640.336,24
8,479.0,19,493.82400000000007,2947.763999999996,24
9,548.0,12,277.44000000000005,582.1840000000004,24
10,616.0,0,0.0,0.0,24
1,0.0,0,0.0,0.0,25
2,68.0,0,0.0,0.0,25
3,137.0,0,0.0,0.0,25
4,205.0,18,1131.96,4537.38,25
5,274.0,14,330.56000000000006,2235.896,25
6,342.0,4,153.89600000000002,36.632000000000005,25
7,411.0,9,397.71600000000007,687.6680000000001,25
8,479.0,19,430.6720000000001,219.2960000000001,25
9,548.0,11,259.36800000000005,92.52000000000004,25
10,616.0,0,0.0,0.0,25
1,0.0,0,0.0,0.0,26
2,68.0,0,0.0,0.0,26
3,137.0,1,53.268,0.0,26
4,205.0,11,223.92000000000002,499.5599999999999,26
5,274.0,11,258.19199999999995,1250.7839999999999,26
6,342.0,7,729.888,838.9440000000001,26
7,411.0,9,359.824,1542.48,26
8,479.0,16,442.32800000000003,1099.7480000000003,26
9,548.0,12,1163.2559999999999,211.74400000000003,26
10,616.0,0,0.0,0.0,26
1,0.0,0,0.0,0.0,27
2,68.0,0,0.0,0.0,27
3,137.0,0,0.0,0.0,27
4,205.0,13,262.38,1561.52,27
5,274.0,12,2042.4600000000005,984.0600000000001,27
6,342.0,10,388.39200000000005,442.12,27
7,411.0,9,371.988,1439.3200000000002,27
8,479.0,16,376.0560000000001,0.0,27
9,548.0,11,285.93600000000004,0.0,27
10,616.0,0,0.0,0.0,27
1,0.0,0,0.0,0.0,28
2,68.0,0,0.0,0.0,28
3,137.0,0,0.0,0.0,28
4,205.0,15,305.22,2068.4400000000005,28
5,274.0,6,138.104,321.152,28
6,342.0,13,477.944,2892.6000000000004,28
7,411.0,7,281.584,844.5320000000003,28
8,479.0,15,331.65600000000006,688.2,28
9,548.0,11,400.48800000000006,330.35200000000003,28
10,616.0,0,0.0,0.0,28
1,0.0,0,0.0,0.0,29
2,68.0,0,0.0,0.0,29
3,137.0,3,53.147999999999996,0.0,29
4,205.0,9,175.1,701.5200000000002,29
5,274.0,10,250.43200000000002,485.904,29
6,342.0,9,291.976,526.696,29
7,411.0,6,190.936,81.89199999999994,29
8,479.0,16,461.1000000000001,1040.4600000000007,29
9,548.0,14,508.68000000000006,587.5440000000001,29
10,616.0,0,0.0,0.0,29
1,0.0,0,0.0,0.0,30
2,68.0,0,0.0,0.0,30
3,137.0,0,0.0,0.0,30
4,205.0,10,209.0,901.0200000000002,30
5,274.0,15,373.36,2649.0719999999997,30
6,342.0,7,240.856,693.1040000000002,30
7,411.0,6,273.32,682.5600000000001,30
8,479.0,12,327.25600000000003,68.5,30
9,548.0,15,493.824,845.2640000000001,30
10,616.0,0,0.0,0.0,30
1,0.0,0,0.0,0.0,31
2,68.0,0,0.0,0.0,31
3,137.0,0,0.0,0.0,31
4,205.0,6,123.04000000000002,82.23999999999998,31
5,274.0,16,384.64,1298.112,31
6,342.0,8,288.656,969.4639999999998,31
7,411.0,11,443.41599999999994,2293.7560000000003,31
8,479.0,12,375.8760000000001,388.0640000000002,31
9,548.0,12,303.28800000000007,24.24799999999999,31
10,616.0,0,0.0,0.0,31
1,0.0,0,0.0,0.0,32
2,68.0,0,0.0,0.0,32
3,137.0,2,107.496,0.0,32
4,205.0,9,182.44000000000003,700.5,32
5,274.0,13,316.384,1870.9520000000011,32
6,342.0,11,425.144,2080.344,32
7,411.0,9,326.41200000000003,203.36399999999992,32
8,479.0,13,373.09600000000006,428.172,32
9,548.0,11,287.216,404.0639999999997,32
10,616.0,0,0.0,0.0,32
1,0.0,0,0.0,0.0,33
2,68.0,0,0.0,0.0,33
3,137.0,5,667.95,0.0,33
4,205.0,14,859.9800000000001,2452.3800000000006,33
5,274.0,7,479.4960000000001,200.61600000000004,33
6,342.0,6,213.99200000000002,159.30399999999997,33
7,411.0,9,261.75600000000003,564.1020000000001,33
8,479.0,24,741.1759999999994,2090.731999999999,33
9,548.0,7,629.5439999999999,362.1119999999998,33
10,616.0,0,0.0,0.0,33
1,0.0,0,0.0,0.0,34
2,68.0,0,0.0,0.0,34
3,137.0,1,17.716000000000005,0.0,34
4,205.0,9,177.94000000000003,137.46,34
5,274.0,14,363.664,994.5600000000004,34
6,342.0,6,212.672,194.89600000000002,34
7,411.0,13,537.184,334.68,34
8,479.0,14,395.4080000000001,2765.911999999998,34
9,548.0,10,267.98400000000004,50.17599999999999,34
10,616.0,0,0.0,0.0,34
1,0.0,0,0.0,0.0,35
2,68.0,0,0.0,0.0,35
3,137.0,0,0.0,0.0,35
4,205.0,12,739.02,1759.0200000000004,35
5,274.0,13,293.16,784.4240000000001,35
6,342.0,4,146.368,0.0,35
7,411.0,7,286.548,332.388,35
8,479.0,20,620.5519999999998,5035.519999999999,35
9,548.0,15,417.92,890.192,35
10,616.0,0,0.0,0.0,35
